"For All Companies As of Sep 02, 2025 For All Alberta ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reporting Facility ID,,Facility Subtype,,Surface Location,Location Latitude,Location Longitude,Facility Name,Field or Area,Operator Code,Operator Name,Licence Number,Licence Status,Licence Status Date,Licensee  BA Code,Licensee Name,Licence EDCT,Licence Issue Date,Most Recent Licence Amendment Date,Plant Processes,Raw Gas E3m3/d,Rec Sales Gas E3m3/d,C2 m3/d,C2 Mix m3/d,C3 m3/d,C4 m3/d,LPG Mix m3/d,C5+ m3/d,Sulphur Inlet t/d,Sulphur Recovered t/d,,Max Sulphur Emission Rate t/d,Qtrly Approved Sulphur Rec Eff %,First Volumetric Activity Date,Last Volumetric Activity Date
ABGP0001001,,Gas Plant Sweet,,00/15-36-036-16W4,52.141285,-112.155917,MAPLE GLEN 15-36-036-16W4,PROVOST,0HE9,Canadian Natural Resources Limited,F5566     ,Issued,1-Nov-00,0HE9,Canadian Natural Resources Limited,B010,1-Nov-00,26-Aug-06,None,"1,419.00",1369,0,,0,0,186.1,17,,0,,,,1-Jan-91,1-Jul-25
ABGP0001002,,Gp Sulphur Rcvry,,00/16-33-038-22W4,52.314,-113.077,KEYERA NEVIS GAS PLANT 16-33-38-22W4,NEVIS,A0C0,Keyera Energy Ltd.,F6601     ,Amended,4-Oct-10,A0C0,Keyera Energy Ltd.,E600,1-Mar-01,4-Oct-10,"Regenerative, Acid Gas Sulphur Recovery, Acid Gas Flaring, Claus Process, Sulfreen Process","4,250.00",3803,0,,245,200,,150,50,47.95,,2.05,95.9,1-Jan-91,1-Nov-23
ABGP0001003,,Gp Sulphur Rcvry,,/01-23-004-29W4,49.311164,-113.804599,* GULF PINCHER CREEK,PINCHER CREEK,0002,Gulf Canada Limited,F63       ,Issued,6-Mar-01,0EW6,Palmer Ranch (1984) Ltd.,E600,6-Mar-01,,None,"2,536.00",,,,,,,,,,,,,,
ABGP0001004,,Gp Sulphur Rcvry,,00/02-05-044-01W5,52.75609,-114.104607,KEYERA HOMEGLEN-RIMBEY 2-05-44-01W5,HOMEGLEN-RIMBEY,A0C0,Keyera Energy Ltd.,F9527     ,Amended,6-Mar-25,A0C0,Keyera Energy Ltd.,E600,20-Mar-01,6-Mar-25,"Regenerative, Acid Gas Sulphur Recovery, Acid Gas Flaring, Claus Process","11,918.00",10010,4150,0,3000,1600,0,2264,50,47.95,,2.05,95.9,1-Jan-91,1-Jul-25
ABGP0001005,,Gas Plant Sweet,,/06-13-040-03W5,,,* GULF GILBY,GILBY,A8HW,Gran Tierra Canada Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
ABGP0001006,,Gp Sulphur Rcvry,,/15-22-039-22W4,52.366978,-113.085087,* CHEVRON NEVIS,NEVIS,0045,Chevron Canada Limited,F7202     ,RecCertified,7-Nov-05,0045,Chevron Canada Limited,E600,1-Mar-01,,,0,,,,,,,,,,,,,,
ABGP0001007,,Gas Plant Sweet,,00/16-30-072-04W5,55.266906,-114.614063,MITSUE 16-30-072-04W5,MITSUE,0HE9,Canadian Natural Resources Limited,F15125    ,Issued,1-Mar-01,0HE9,Canadian Natural Resources Limited,B010,1-Mar-01,29-Nov-11,,704,,,,,,,,,,,,,1-Sep-05,1-Jul-25
ABGP0001008,,Gp Acid Gas Flaring,,/12-12-020-12W4,,,* CHEVRON PRINCESS,PRINCESS,0045,Chevron Canada Limited,,,,,,,,,,,,,,,,,,,,,,,,
ABGP0001009,,Gas Plant Sweet,,00/09-29-031-05W4,51.687307,-110.669963,SEDALIA 9-29-31-5 GP,SEDALIA,0RL9,Baytex Energy Ltd.,F4165     ,Amended,22-Apr-02,0RL9,Baytex Energy Ltd.,B010,1-May-01,26-Aug-06,,396,393,0,0,0,0,0,15.9,0,0,,,,1-Jan-91,1-Nov-19
ABGP0001010,,Gp Acid Gas Flaring,,/01-26-054-25W4,,,* NORCEN CAMPBELL-NAMAO,CAMPBELL-NAMAO,0HE9,Canadian Natural Resources Limited,,,,,,,,,,,,,,,,,,,,,,,,
ABGP0001011,,Gas Plant Sweet,,/01-03-035-01W5,51.971722,-114.050828,* SHELL INNISFAIL,INNISFAIL,0T03,Shell Canada Limited,F5119     ,Abandoned,1-Jun-04,A216,Enhance Energy Inc.,E600,1-May-01,,,502,,,,,,,,,,,,,,
ABGP0001012,,Gas Plant Sweet,,00/12-33-022-18W4,50.915848,-112.448743,COUNTMAK 12-33-22-18w4,COUNTESS,0HE9,Canadian Natural Resources Limited,F3201     ,Amended,25-Sep-15,A7NW,Torxen Energy Ltd.,B010,6-Mar-01,25-Sep-15,,"1,700.00",1650,0,0,0,0,14.5,0,0,,,,,1-Jan-91,1-Jul-25
ABGP0001013,,Gp Acid Gas Flaring,,00/15-22-040-03W5,52.461679,-114.347497,KEYERA GILBY PLANT 15-22-040-03W5,GILBY,A0C0,Keyera Energy Ltd.,F8214     ,Amended,8-May-07,A0C0,Keyera Energy Ltd.,C300,20-Mar-01,8-May-07,,"2,000.00",1800,,,250,170,,160,0.55,,,0.55,,1-Jan-91,1-Jul-25
ABGP0001014,,Gas Plant Sweet,,02/08-17-029-22W4,51.47968,-113.054814,ATCO CARBON,WAYNE-ROSEDALE,0Z2W,ATCO Next Energy Ltd.,F3997     ,Amended,9-Aug-22,0Z2W,ATCO Next Energy Ltd.,B010,1-Mar-01,9-Aug-22,None,"15,490.00",15460,0,0,0,0,0,90,0,,,,,1-Jan-91,1-Jul-25
ABGP0001015,,Gas Plant Sweet,,00/02-31-022-11W4,50.908954,-111.514676,WARDLOW 2-31-22-11w4,CESSFORD,0HE9,Canadian Natural Resources Limited,F3134     ,Issued,26-Mar-01,0HE9,Canadian Natural Resources Limited,B010,26-Mar-01,,,120,,,,,,,,,,,,,1-Jan-91,1-Oct-19
ABGP0001016,,Gas Plant Sweet,,/16-08-043-23W4,,,COMETRA WOOD RIVER,WOOD RIVER,0AZ9,Cometra Energy Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
